hi,ho,ti,to
88,85,29.9,29.3
92,89,28.8,28.3
94,92,28.1,27.6
99,97,27.4,26.9
99,97,26.7,26.2
98,97,26.7,26
99,97,26.3,25.6
99,98,25.9,25.2
100,99,25.6,24.9
97,99,24.9,24.6
97,99,24.8,24.5
96,98,24.7,24.4
96,98,24.7,24.4
96,97,24.8,24.5
96,98,24.9,24.5
96,98,25,24.6
96,98,25,24.6
96,98,24.9,24.6
96,98,25,24.6
96,97,25,24.7
96,97,25.1,24.8
96,97,25.2,24.8
96,97,25.2,24.9
96,97,25.3,25
96,97,25.3,25.1
95,97,25.4,25.1
95,97,25.4,25.2
95,97,25.5,25.2
95,96,25.6,25.3
95,96,25.8,25.5
95,96,26,25.6
95,96,26.1,25.8
95,96,26.2,25.8
95,96,26.3,26
95,95,26.4,26
94,95,26.5,26.2
95,94,26.6,26.2
95,94,26.7,26.4
95,95,26.8,26.4
96,96,26.9,26.4
96,96,27,26.6
95,96,27.1,26.8
95,96,27.1,26.8
96,95,27.2,26.8
95,95,27.3,26.9
96,94,27.3,27
96,95,27.4,27.1
96,95,27.5,27.1
95,95,27.6,27.2
